Client ID,Project ID,Branch,Year,Rating (0-10),Client Feedback,Langauage,Focus of Engagement,Type of Client,Feedback Submission Date,1. Net promoter score,2. Professionalism,2. Understanding,2. Deliverables,2. Recommendations,4. Most Valuable,5. Improvements,6a. Recommendations implementation,6b. Recommendations reasons,7 Help aims,8. Overall experience,9. Public Disclosure,10. Public Feedback,11. Will repeat?
72,602,Goethe University of Frankfurt,2017,8,b. Good (6-8),English,Competitor Analysis,Accomodation/Shelter,4/18/2017 2:12,8,4,3,2,2,"Das Team hat uns gezeigt, wie schwer es ist an einer UniversitÃ¤t in kurzer Zeit ein Projekt umzusetzen.",Wenn wir Ã¼ber die Konzeptphase hinaus gekommen wÃ¤ren.,1,Es gab keine Empfehlung. Das Projekt ist in der Konzeptphase verblieben. Das Konzept war leider nicht umsetzbar.,2,Tolles Team und sehr strukturierter Ansatz. Leider kam es nicht Ã¼ber den ersten von drei Meilensteine hinaus.,yes,yes,yes
1589,2851,Monash University,2020,8,b. Good (6-8),English,Partnerships,Education,12/8/2020 7:29,8,4,4,4,4,The slide deck and recommendations ,They were great! ,4,,4,Very Good,yes,yes,yes
402,2174,Stockholm School of Economics,2020,8,b. Good (6-8),English,Market Analysis,Women,6/4/2020 4:56,8,4,4,4,3,Our long-term business strategy got confirmed.,We would have liked to see the survey questions and give feedback on them before the survey was conducted.,5,Most of the recommendations were part of our business plan already.,4,very good,yes,no,yes
549,1462,Bocconi University Students,2018,8,b. Good (6-8),English,Sustainability,Micro-finance,4/16/2019 7:37,8,5,5,4,4,PROMPT AND QUICK RESPONSE TO COMMUNICATION AND INFORMATION,,5,WE WILL IMPLEMENT THE RECOMMENDATIONS FROM THE PROJECT BECAUSE THEY ARE FOUND TO BE VERY USEFUL,4,VERY GOOD,yes,yes,yes
445,719,Ghent University,2017,8,b. Good (6-8),English,Competitor Analysis,Accomodation/Shelter,7/10/2017 2:27,8,4,4,4,4,The analysis the students made about the franchaise idea,"Sometimes too many people means a small project can get fragmented. I would say that fewer people were needed to do the tasks, which would have meant the persons involved would have got a deeper understanding of all aspects, and how they fit together.",4,"We are still investigating the franchise idea. The employment conditions means it is a complex process. If we cannot find a cost effective method for paying, and finding franchisees then we will look at using logistics companies",4,"Very good experience. Particularly Glenn was very professional in his approach. The others were less visible, but all gave constructive input during the final presentation",yes,yes,yes
1952,1357,IIT Madras,2018,8,b. Good (6-8),English,Market Analysis,Education,10/3/2018 7:28,8,4,4,4,4,Fresh ideas and approach,The team was good.,4,Fresh ideas.,4,Very good.,yes,anon,yes
595,960,The University of Adelaide,2018,8,b. Good (6-8),English,Finance,Community Support,7/25/2018 19:46,8,5,5,5,5,"The report was concise and well researched and met the brief provided. The advice given was practical, specific to our needs, and able to be implemented over time by our small organisation.",,5,The 180dc team were advised that we are a small and very busy not for profit and have made recommendations for strategies which we feel we can implement over time without placing unrealistic burdens on busy staff,4,Very Good. ,yes,yes,yes
970,1073,Copenhagen,2018,8,b. Good (6-8),English,Fundraising,Education,3/8/2018 2:51,8,5,5,4,4,"The most valuable thing of the process was definitely to get som external eyes on our organization and the challenges that we are facing. Furthermore, the final report has been very useful. ","No comments. We were in close contacts with the consulting group, and they were very understanding and really committed to the project. ",5,"The group has provided a list of relevant organizations that we intend to approach. Furthermore, the group brought up the SDG's which we are going to implement in our existing material. ",4,Very good. ,yes,yes,yes
1188,26,University of New South Wales,2016,8,b. Good (6-8),,,,9/17/2015 22:19,8,5,5,5,5,Having a team of consultants work on a specific organisational project and deliver a report with recommendations for consideration. ,,4,Yes definitely - especially the total rewards program ,4,Very good. The team was very professional.,yes,yes,yes
136,625,University of Antwerp,2018,8,b. Good (6-8),English,Competitor Analysis,Accomodation/Shelter,12/28/2016 4:22,8,5,4,4,3,"a fresh outside perspective on our current operating strategy, coming from a young and businness-oriented mindset","As the client, we could have provided a bit more direction and focus to achieve even more relevant outcomes for direct implementation. ",3,,4,"Very impressive work ethic and motivation, quick grasp of the overall project and specific bottle necks where their contribution could be useful. Easy and cordial communication and collaboration.",yes,yes,yes
1798,811,King's College London,2017,8,b. Good (6-8),English,Marketing,Government,5/17/2017 7:12,8,4,4,4,4,"I found the team professional in all aspects. Communication and internal organisation was good, along with the understanding of the tasks. Good strategy throughout the project and they delivered quality results.


",Having more time to deepen the activities would have been beneficial.,4,We will definitely be simplifying our website and making short videos about Simpol more prominent. We probably won't simplify the sign-up form because we cannot do without the basic address and postcode data.,4,"Very interesting and helpful experience. Students were very professional, and provided high quality results to our challenges. Thank you for your efforts! 

We would've been willing to pay Â£5,500 for the service. ",yes,yes,yes
236,2022,Berlin,2020,8,b. Good (6-8),English,Strategy,Education,7/29/2020 7:20,8,4,4,5,5,Understanding the competitive landscape,Business Model recommendations,3,The report is a great inspiration that needs a lot of time to discuss and implement.,2,"Very kind, open and challenging people. Had a lot of fun but could have been more (effective) meetings. The reason that it barely makes a difference for us is that we don't have the time yet to interpret the results.",yes,yes,yes
386,43,Hamburg,2015,8,b. Good (6-8),,,,10/11/2015 10:13,8,2,5,3,4,The objective view from outside.,Regular updates/ (skype-) meetings with at least the leader of the group. ,4,The idea to use regular mails as an invitation is straightforward and really useful. We`ll definately gonna do that.,4,"Very nice and smart people, good organisation of the events. ",yes,yes,yes
1314,2537,Bocconi University Students,2020,8,b. Good (6-8),English,Strategy,Children/Youth,7/30/2020 7:45,8,4,4,4,4,"An outside analysis of our organization, like an eagle eye. That always helps. ",A final briefing in person could have been a nice add-on,4,The report should spots we know we had some weaknesses. I integrate them in a larger strategic process ,4,Very nice project. I do like that you form teams from different disciplines. I think it is a win win. Students get experience in analyzing and providing consultancy. The report start a reflection process in the organization.,yes,yes,yes
719,2450,Vienna University of Economics and Business,2020,8,b. Good (6-8),English,Competitor Analysis,Social Entrepreneurship (for-profit),9/17/2020 8:01,8,4,4,4,3,Getting well-researched input and elaborate feedback. Helped us to map ourselves against competitors in our space.,,4,,4,"Very pleasant. Great group of people, very active - was a pleasure to work with our team.",yes,yes,yes
865,840,University College London,2017,8,b. Good (6-8),English,Strategy,Community Support,6/1/2017 4:54,8,5,4,4,4,Having an independent view on options as often partners on the ground have pre-existing views,Better communication between project partners to provide constant advice to consultancy team,3,Trustees may have a differing view to the recommendations ,4,Very positive,yes,yes,yes
1983,1214,University of New South Wales,2018,8,b. Good (6-8),English,Impact Measurement,Hunger/Poverty,6/28/2018 21:42,8,4,3,5,4,"Having a team from different disciplines being able to apply themselves to our need/issue, and the time to invest in research about how to find a solution. They were able to add expertise in areas that are not easily available within our own team at TEAR.","If there could have been face to face time that would have been helpful, but it wasn't critical. There as good and regular communication through the process,a lthough my work travel,a dn then University exams interrupted this a little!",5,"We will probably modify some of the ideas that have been proposed, but those modifications will be to fit our context better. The team has provided the working and the tools for us to be able to do that while maintaining the integrity of the proposal. The actual proposals themselves, and the principles behind them, will be followed up and applied in the next 6 months.",4,Very positive.,yes,yes,yes
227,2449,Vienna University of Economics and Business,2020,8,b. Good (6-8),English,Expansion,Social Entrepreneurship (for-profit),8/11/2020 23:12,8,4,5,5,4,Gained better overview over customers,,4,We will target these customers in Berlin,5,Very professional and all tasks were done on time,yes,yes,yes
967,1185,Macquarie University,2018,8,b. Good (6-8),English,Fundraising,Refugees,7/2/2018 23:55,8,4,4,5,4,Well presented strategic advice that was easy to understand,Providing specific names of organisations / corporates who we could approach,5,,4,Very professional and clear deliverables,yes,yes,yes
759,154,University of New South Wales,2016,8,b. Good (6-8),,,,1/5/2016 20:15,8,5,4,5,5,Comparing FNPW to other organisations.,Clearer processes and explanations.,4,There were some useful tips we're happy to implement.,4,Very professional and helpful.,yes,anon,yes
147,1124,University of New South Wales,2018,8,b. Good (6-8),English,Partnerships,Crime/Legal Services,8/9/2018 20:24,8,4,3,4,4,Having a fresh set of eyes review sponsorship opportunities and what might work or not work.,Perhaps if the team a stronger understanding of Arts Law and the funding environment we operate in.  ,3,Arts Law staff who would need to do the work are already overstretched so it is difficult to expand workload. Initiating sponsorship proposals would require capacity to follow through on initial approaches. Very little capacity to do this at present. However research provides very good reference materials for us to use going forward.,2,Very professional and sincerely interested n providing good outcomes for our organisation.,yes,anon,yes
102,2067,Hamburg,2020,8,b. Good (6-8),English,Operations,Community Support,5/5/2020 0:30,8,4,4,3,3,"External view, good ideas how to shape the Project for the future","more dedication from our internal Team, we were /are in a unsolved Situation concering financing and future ",4,,4,"very professional, decicaded and open minded team",yes,anon,yes
319,46,Lulea University of Technology,2015,8,b. Good (6-8),English,Competitor Analysis,Accomodation/Shelter,6/25/2015 11:45,8,3,5,5,4,"To get new input and fresh ideas. 
It was valuable to get comments and feedback from people looking from the outside and in.
They also presented ideas that will make a difference in our organisation.","Communication from the teamleader and a willingness to listen and adjust would have been appreciated.
I had a feeling that there was a gap between their asssignment at the university and what we really needed. 
I was very clear at the beginning that we wanted communication along the way and that I valued their opinions. 
I wanted to take part of their opinions as we formed our new organisation. Instead they did their own thing
and came back with a final report. 
I do want to stress that the final report was useful to us but the final result could have been better if we would have
communicated along the way.
",3,"Our organization developed much during the project time. If communication would have been better the team would have known 
that some of tha things they suggested no longer were applicable.",4,"We are very grateful that we got this opportunity. Indeed it has been of great value to us. 
Some of the suggestions that the team made will be useful to us. ",yes,yes,yes
539,389,University of Sydney,2016,8,b. Good (6-8),,,,7/22/2016 0:03,8,4,4,4,4,"The teams insights, and different perspectives. ",More meetings,4,"Yes, they were very useful and relevant. ",5,We had a great time and it was very useful. ,yes,yes,yes
2185,482,Prague,2016,8,b. Good (6-8),,,,8/4/2016 12:01,8,4,4,4,4,Recommendations of the team after their long hard work on our issue. They came up with many useful and definitely well-thinked ideas how to improve our situation. ,"I think they did they best in the short period they had. Nevertheless, I would like to have more face-to-face contact with the team. But this is very hard, especially when there was an exam period those days. ",4,"As I commented above, I think they are useful and they provide us a different, partly objective, point of view on our ""problem"". We would love to implement them, maybe with some slight modifications. ",4,"We have already cooperated with 180 Degrees Consulting a couple of times and it was always a valuable experience. The teams are made of great people who are really interested in the topic and our organization. They are trying to understand very well the situation to provide great analysis, outputs and recommendations as a result. We appreciate that there is always some conclusion and final meeting where everything is well explained and consulted. The approach of the members of the team is very profesional as each of them has got different skills which make great background for their effort. Thank you!",yes,yes,yes
1946,881,University of Melbourne,2017,8,b. Good (6-8),English,Operations,Children/Youth,2/18/2018 22:05,8,3,4,5,4,Learning about the presentation of information and how this could be the difference between consistent members and those who drop off from SYN. ,"I came onto the project right at the end, as the person in my position previously had left, but hadn't passed on any information to the team about the change of staff. ",3,"We don't have the resources to re-configure our entire website at this stage, though we may consider making the simple changes to our home page. 
At SYN, we have found surveys to be invaluable and we will be implementing this suggestion,",4,"Whilst we had an initial hiccup when I began my part in the project (getting back in contact with SYN in an unusual way), all experiences after that were professional, prompt and beneficial.",yes,yes,yes
737,247,Goethe University of Frankfurt,2016,8,b. Good (6-8),,,,5/1/2016 8:52,8,3,4,4,4,"Der Blick von ""AuÃŸen"" und der Ã¼ber Monate kontinuierliche gemeinsame Reflektionsprozess - und damit die sich daraus schlÃ¼ssig ergebenden VorschlÃ¤ge.","Eine stÃ¤rkere Einbindung aller Mitglieder unseres Leitungskreises in den Prozess.
Die frÃ¼here Einbindung des eigentlichen Beraterteams.
Vielleicht auch ein kleineres Team.",5,siehe oben,4,"Wir haben von der Auseinandersetzung mit dem 180 Degrees-Team unbedingt profitiert und zwar von ersten Moment an. Schon die geforderten Problembeschreibungen brachten eine grÃ¶ÃŸere Klarheit Ã¼ber strukturelle Probleme der Initiative. In der Auseinandersetzung mit dem Beraterteam haben sich immer wieder unmittelbar Handlungskonsequenzen fÃ¼r uns ergeben.  Die meisten Anregungen des Teams sind und werden prozesshaft in unsere Organisationsentwicklung einflieÃŸen.
",no,anon,yes
332,620,Hamburg,2017,8,b. Good (6-8),English,Competitor Analysis,Accomodation/Shelter,5/15/2017 6:24,8,5,5,5,5,socialmedia input ,work and process,4,,4,Young professionals in concert  ,yes,yes,yes
650,643,The Hong Kong University of Science and Technology,2017,8,b. Good (6-8),,,,3/7/2017 19:39,8,4,4,4,4,The structure and depth of the research,N/A,4,#NAME?,5,"Great experience working with a group of friendly, competent and passionate student consultants. ",yes,yes,yes
1011,700,Ghent University,2017,8,b. Good (6-8),English,Marketing,Refugees,6/12/2017 2:00,8,4,4,4,4,practical implementation instruments,/,5,very usefull information,5,enthousiast young skilled people,yes,yes,yes
462,2721,Leuven,2020,8,b. Good (6-8),Dutch,Sustainability,Environment,12/14/2020 2:50,8,5,3,4,3,The carbon hotspots for each organisation were clearly mapped and presented visually. The specific recommendations for each SME were a great plus.,A more tailored approach and recommendations for each SME would have been more valuable. F.e. Compare the SMEs carbon emissions with those of other players in its sector to see how it's already doing and what could be improved. Create a story!,4,"There were no specific recommendations for The Shift, but the other organisations told us that they will definitely look into the recommendations made by the Team. They were very clear and straightforward, so 'easy' to work with and implement.",4,"Very clear and professional communication, open for feedback and answering questions. Overall, a good preliminary study.",yes,anon,yes
2012,2642,University of Bristol,,8,b. Good (6-8),English,Competitor Analysis,Community Support,9/14/2020 9:36,8,5,4,4,4,"Getting a fresh perspective on our model, looking at new ways to generate income, especially from the perspective of the younger generation.",It would have been great to have had more face to face meetings but covid has made the unviable.,4,Once we get some time in schedule's we will 100% action all of the recommendations.,4,We have been lucky enough to work with some extremely talented and king hearted individuals whom I sure all have a bright future ahead of them.  They were able to deliver a very professional approach which impressed our senior team greatly.,yes,yes,yes
219,358,Ghent University,2016,8,b. Good (6-8),,,,5/24/2016 4:25,8,3,3,4,4,Een 'onbezoedelde' visie van buitenaf,"Meer tijd, om onze specifieke situatie nog beter te leren kennen",4,,4,Een welgekomen 'second opinion',yes,yes,yes
628,2538,Universidad CatÃ³lica Argentina,2020,8,b. Good (6-8),Spanish,Human Resources,Education,8/26/2020 21:26,8,4,4,4,4,"El paso a paso que nos fueron armando para la implementaciÃ³n y las ideas que nos compartieron. 
","Sin lugar a dudas que pudieran conocernos de forma presencial, para poder entender nuestro funcionamiento de una mejor manera. ",5,"Si, ya estoy trabajando con mi equipo para implementarlas. 
",4,,yes,anon,yes
245,514,BITS Goa,2016,8,b. Good (6-8),,,,8/28/2016 21:12,8,4,3,4,4,The analysis and evaluation of potential partner to implement the required solution for us. There was a good depth in the evaluation.,"As the beneficiary of the project, our involvement could have been more to get the best out of what was done. We were held up in other priorities.",3,"For the immediate requirement we had identified an alternate vendor for implementing a solution before we had received the recommendations from the team. However, we hope to make use of the recommendations for future.",4,It was much professional than expected for a student driven initiative,yes,yes,yes
2093,72,Ghent University,2015,8,b. Good (6-8),,,,9/4/2015 7:21,8,3,4,4,5,Thinking out of the box + relevant new ideas ,"Also a presentation to distribute in dutch.
A summary with headlines.

",5,Because they were valuable and possible. ,4,"Young and still quiet professional. Not abstract, so reality instead of big dreaming ideas. realistic and willing to listen. ",yes,yes,yes
947,525,University of New South Wales,2016,8,b. Good (6-8),,,,11/6/2016 15:55,8,4,4,4,4,Fresh eyes.,"I am not sure, without more time allocation that you could have had more value.",4,,4,Positive,yes,yes,yes
1647,1778,New York University,2019,8,b. Good (6-8),English,Fundraising,Education,8/12/2019 13:36,8,4,4,4,3,The work done around elected officials was excellent,We should have spent more time clarifying what we needed in terms of corporate prospects,4,It was work we could not have done in as much depth,5,"Strong communication from Team Leader
Detailed presentation and notes",yes,yes,yes
2248,955,Monash University,2018,8,b. Good (6-8),English,Expansion,Hunger/Poverty,1/8/2018 22:33,8,5,3,4,4,It was valuable to receive market analysis and scoping in particular.,It is difficult to say given the students don't have any significant experience. I think focusing on idea generation and scoping and analysis is the correct use of their skills. I have worked with students before so was aware of that going into this.,3,It is possible we will proceed with a variance of one of their recommendations. This will not be decided for some time yet.,4,"The consultants were excellent to work with and did a great job. Their analysis was thorough and they were very creative in their thinking. The brief was met and their delivery, presentation and documentation was very professional. Thanks!",yes,yes,yes
1606,1996,University of Bath,2019,8,b. Good (6-8),English,Market Analysis,Education,12/9/2019 16:07,8,5,5,4,4,The research data investigated by the team is very valuable. This allows us to understand better in the problems we are solving.,"Work plan for the solutions suggested. E.g. execution timeframe, requirement, etc.",4,Ohh yes! We believe that the inputs from the team are very valuable and am thinking of ways to implement them very soon.,5,"Professional, meaningful, and insightful. ",yes,yes,yes
1601,646,University College London,2017,8,b. Good (6-8),English,Operations,Children/Youth,1/17/2017 4:04,8,5,4,5,4,"Real life testing, a perspective from outside & workforce.",Further testing with target audience.,4,Because it is a great way to encourage more people to join projects. The challenge are the resources necessary.,4,Very professional and helpful.,yes,anon,yes
1256,436,Goethe University of Frankfurt,2016,8,b. Good (6-8),,,,9/12/2016 9:31,8,4,5,5,5,"Das Endergebnis, welches jedoch stark von der intrinsischen Motivation einer Beraterin abhing.",,4,Weil es sinnvoll ist.,4,"Die Kommunikation bzw. Agenda ist nicht stÃ¤ndig prÃ¤sent, dadurch manchmal Unklarheiten beim Ablauf/Aufgabenstellung. Das Team war auch nicht ganz klar. Wenn es nicht einer sehr motivierte, inhaltlich fitte Beraterin gegeben hÃ¤tte, wÃ¤ren die anderen nicht zu einem solchen Ergebnis gekommen, denke ich. D.h. die Strukturen hÃ¤tten auf beiden Seiten Verbesserungspotenzial.",yes,anon,yes
1220,1400,University of the Pacific Lima,2018,8,b. Good (6-8),Spanish,Finance,Education,12/9/2018 19:05,8,3,5,5,4,Los hallazgos del estudio de mercado realizado por el equipo de consultoria que nos dieron un panorama de las necesidades del mercado.,Que se pensara en una soluciÃ³n de largo plazo en vez de corto plazo.,4,Porque la propuesta era atractiva y estaba sustentada por las encuestas y entrevistas realizadas.,4,Gratificante. Los chicos dieron luces de otras aristas que no habÃ­amos visto y mostraron disposiciÃ³n por entender la problemÃ¡tica que la organizaciÃ³n tenÃ­a.,yes,yes,yes
328,2075,Leuven,2020,8,b. Good (6-8),Dutch,Finance,Community Support,5/25/2020 7:18,8,3,4,4,3,"180 Degrees made a script with lots of examples. Of course, we could have done that too, but no time and too little knowledge. This script serves as a good and well documented starting point.

It could be an added value for us to look back together in 6 months and adjust your interesting ideas with a reality check.","A.In-depth ideas. For example: 1.Fundraising: we understand that 180 Degrees did not call the companies that might be interested. But you could have made a script for us to call them ourselves. 2.Volunteers: too little concrete suggestions to bring our approach in social media from almost 0 to a higher level (f.e.neighbourhood networks)
B.We missed research on the Foundations, and on the donations of citizens.",5,"Examples ready for possible implementation:
The recommendations on our website.
Link horeca - volunteers.
Approach of companies.",4,"Warm, refreshing cooperation (even in corona-times). Nice, emphathetic people.",yes,anon,yes
1025,1711,Brussels (ULB/VUB),2019,8,b. Good (6-8),English,IT,Women,5/29/2019 4:47,8,4,4,5,4,"regarding this collaboration, fresh and outsiders views and propositions were the most valuable imput as we unfortunately often work within a closed system where almost no time, means and energy can be brought in order to enbetter our work.    ",of course : a longer collaboration for a more long term problem-sollution analysis. ,4,because relevant. ,4,professional and to the point. ,yes,anon,yes
1345,390,University of Sydney,2016,8,b. Good (6-8),,,,7/11/2016 1:12,8,4,3,3,4,Having a team of drivers delivering on the agreed upon mission,Team attendance. Our team had 95% contact with our team leader. It would have been great to see all the individuals turn up to the meetings to support the team leader. I have no doubt that they did all deliver in the end tasks. ,4,Absolutely. What we received in the end with the documents presented is something that I see us using as a copy and paste document that should have quite a shelf life with our company. ,4,A positive journey. Our team very much enjoyed the experience. ,yes,yes,yes
2121,2247,Sri Guru Gobind Singh College of Commerce,2020,8,b. Good (6-8),English,Market Analysis,Technology,7/29/2020 4:30,10,5,5,5,4,"The team of students were dedicated to conducting the interviews. Although there were a few hiccups here and there, over all it was good.",They helped me carry out a high quality project at low cost,5,Quality services at low prices,5,Good,no,anon,yes
1364,281,The Hong Kong University of Science and Technology,2016,8,b. Good (6-8),,,,6/8/2016 21:49,8,4,3,4,3,New insights from outside the Miscato team,"Give suggestions a little bit at a time, and monitor progress, and give more suggestions (instead of one block of suggestions in one time) ",3,"We would implement the website once Miscato is back in operation, but for social media maybe not because so far our sales haven't come from social media. ",4,Pleasant and professional,yes,yes,yes
1722,1469,University of Texas at Austin,2019,8,b. Good (6-8),English,Marketing,Community Support,4/30/2019 12:29,8,4,3,4,4,That 180 connected SAFE with the leadership of Not On My Campus.,"If 180 had been able to identify other, independent means by which to promote consent on campus.",4,We will maintain our relationship with NOMC. ,4,"The consultants are extremely professional in person; they arrive on time and are professional in their manner and comport and language. The report that I was presented was also quite professional. It seems as if they did some good research on the overall environment surrounding sexual assault ""prevention"" and consent on campus. But the true deliverables were a connection to NOMC and some help to NOMC with their social media.  ",yes,yes,yes
1926,1975,Stockholm School of Economics,2019,8,b. Good (6-8),English,Finance,Environment,1/27/2020 12:43,8,4,4,4,4,New insights,More interaction,2,"We did not come to a positive business case, but thats also good to know.",4,Very talented people. Large efforts put in the project.,yes,yes,yes
1190,327,University of New South Wales,2016,8,b. Good (6-8),,,,6/16/2016 2:54,8,5,5,4,4,"Insightful and prompt feedback
An external non-judgmental perspective
Great tools and framework - a positive outcome across all areas",The option of the final presentation being made available prior to the last meeting in order to have the opportunity to review and reflect and make the time of even greater relevance,5,"Yes, as the recommendations and outcomes addressed the critical areas prioristised in the project brief",4,"Positive
Insightful
Professional
Informed

",yes,yes,yes
853,1416,Berlin,2019,8,b. Good (6-8),English,Operations,Volunteering,10/15/2018 3:19,8,3,4,5,5,"You have done a high-value, action-oriented outside-in analysis that helps us in identifying, prioritizing and implementing a lot of improvement measures to better serve the needs of our target groups. Of particular value to us are:

    User interviews & needs assessment: always extremely valuable to hear our hear the voice of our users. You have also summarized that in an exemplary, concise manner through the personas --> Question: Since this part is so valuable to us, could we have the original interview notes? (no need for great formatting there)

    UX analysis & recommendations: This part is amazing because your analysis is very sharp & specific and your recommendations are 100% implementation-oriented. --> We will go through that step by step and move to implementation on each of your suggestions.

    General recommendations: Great that you took your time to take the big picture view and think about what will move forward GoVolunteer from a strategic angle --> We will pick up many of those suggestions over the course of the next year (e.g., customer service, transparent portfolio, learning workshops etc.)","My only development-oriented feedback would be that regular (at least monthly) check-ins with your client (in this case us) would help to improve communications, manage expectations, re-confirm priorities and clear up questions faster. For example, the point on collaborations could have been solved very easily through a quick touch-point with us (since actually we have deep collaborations with almost all the players in the field and do not consider any of them as competitors but all of partners).",4,Very useful recommendations (see above) - only restriction: feasibility of implementation due to resource limitations,4,"To be honest, I was first a bit skeptical because we had not heard from you for such a long time. But you have really done a high-value, action-oriented outside-in analysis that helps us in identifying, prioritizing and implementing a lot of improvement measures to better serve the needs of our target groups. I would be happy to work with you again. (Please use us a positive reference whenever you need to.)",yes,yes,yes
593,765,Hong Kong Island,2017,8,b. Good (6-8),English,Competitor Analysis,Accomodation/Shelter,6/29/2017 22:06,8,4,5,4,4,We gained an outside perspective and insight into aspects of our organisation that we have had difficulties with. The analysis is particularly helpful,"More communication throughout the process, particularly before issuing the final report as there were a few items or conclusions that are erroneous or irrelevant, which made some of the recommendations less valuable. 
Therefore, for the factors above:
Professionalism: 4
Communication: 3",4,The key points of the recommendation are relevant to improving our organisation.,4,"Excellent, overall we are pleased with the outcome.",yes,anon,yes
976,2217,"University of California, LA",2020,8,b. Good (6-8),English,Marketing,Technology,3/29/2020 22:37,8,5,5,5,5,"The market data we recieved was by far the most valuable.  Though we also recieved an immensely valuable entry strategy, it was built upon the market data which would have been very difficult to get without 180.  ","As we were continuing to do work on the project, we would've like to have gotten more updates during our biweekly meetings.  ie) The vast majority of the data and the entire entry strategy were all presented at the final presentation.  Seeing this information a bit sooner could've helped us get started on work a bit sooner.  ",5,"Since our project plan to launch to UCLA students, 180 has a very specific advantage for our project: they are current students at UCLA.  --> their feedback on the best entry strategies are first hand.  

Also, all of the recommendations made sense as they were paired with the survey data.  ",5,Fantastic.  Aneri and Karthik were super responsive and delievered everything we were hoping to get from 180 without hitches.  ,yes,yes,yes
891,2412,BITS Pilani,2020,8,b. Good (6-8),English,Partnerships,Accomodation/Shelter,7/25/2020 9:34,8,4,5,4,5,Team  was excellent listener and understood our needs in the comminity and challenges and able to work aroind and deliver on assignment ,We wish they would have visited field and get tge experience and interacted  with people and govt representative but was not possible due to COVID ,5,Because housing and shelter speciaaly unfinished houses is a need of an hour we are working on this now ,5,Its a very professional  and amazing team and mix of expertise on various sectors and worked and coordinated very well excellent ,yes,yes,yes
7,413,Munich,2016,8,b. Good (6-8),,,,10/10/2016 1:36,8,4,4,4,4,"Eine Aufgaben Stellung die sich in unserer Organisation gestellt hat, aber aufgrund personeller EngpÃ¤sse nicht bearbeitet werden konnte, wurde von 180D Ã¼bernommen.",Mehr Zeit fÃ¼r das Projekt insgesamt; intensiverer Austausch ,4,"Erwarte einen guten strukturellen Benefit aus den erarbeiteten Empfehlungen fÃ¼r unsere weiteren AktivitÃ¤ten; 
zur Frage unten: das kann nach der kurzen Zeit nicht beantwortet werden",0,"konstruktive Zusammenarbeit, gutes Team, gute AtmosphÃ¤re, ergebnisorientiert!",yes,yes,yes
1223,1482,Bocconi University Students,2018,8,b. Good (6-8),English,Impact Measurement,Community Support,2/11/2019 8:27,10,5,4,4,5,"SROI is undoubtedly an amazing work for us. It will help the startup a lot in the future. 
Competitors Analysis, also good work. It bought us time and it allowed us to learn from our competitors. 
 

","Communication with Martina was great. She understood our needs really fast and worked to solve them immediately. The results were good actually as well as the consulting service in general.  I have no specific complaints but if I have to say something maybe you can improve your graphic presentation skills. 
",5,,5,"Very good. 
Since from the introduction with Alessia Lin, to the end of the project with Martina, we were good. 
Satisfied. ",yes,yes,yes
19,2131,Gargi College ,2020,8,b. Good (6-8),English,Market Analysis,Volunteering,3/31/2020 9:35,8,4,2,4,5,The insights & inputs I got from the project was the most valuable part.,A little bit of prioritization by the team would have made the project more valuable  !!,4,"The insights & inputs we got were relevant and hence,we""ll apply them !!",4,"My overall experience with 180 Degrees Consulting was good.
Would love to work in future again !!",yes,anon,yes
19,2131,Gargi College ,2020,8,b. Good (6-8),English,Market Analysis,Volunteering,3/31/2020 9:35,8,4,2,4,5,The insights & inputs I got from the project was the most valuable part.,A little bit of prioritization by the team would have made the project more valuable  !!,4,"The insights & inputs we got were relevant and hence,we""ll apply them !!",4,"My overall experience with 180 Degrees Consulting was good.
Would love to work in future again !!",yes,anon,yes
683,2475,Vienna University of Economics and Business,,8,b. Good (6-8),English,Marketing,Social Entrepreneurship (for-profit),10/17/2020 10:50,8,4,3,4,4,Neu Marketing Plan and road map. ,"I think we would need more communitaion, since some of the topic wasnÂ´t communicated and as a reasult some of the recommendations were not useful (e.g. DM and other Shops), since the focus in E-Commerce. ",5,"Yes, we are going to implement the recommendation which are in our budget. ",4,"Very good. But is hard to evaluate, since the reasults will be seen in next 6-10 months. ",yes,yes,yes
833,632,Stockholm School of Economics,2018,8,b. Good (6-8),English,Competitor Analysis,Accomodation/Shelter,1/24/2017 6:58,8,4,3,5,3,"New ideas, fresh Eyes! These students were super-driven and proffessional, the case they got was superchallanging. ",More focus on deeper understanding of how GodEls challanges looks. Working on a less broad challange. If we make the scope a smaller would have been easier to grasp and come up with ideas for execution. ,4,,4,Superengaged students and a very short time for executing the Project. Now when I know more about how you work its easier to know if a Project/scoop fits well or not. ,yes,yes,yes
1213,630,University of Sydney,2017,8,b. Good (6-8),,,,12/22/2016 5:04,8,5,4,5,4,Meeting with young people of brilliant minds.,"The involvement of 180 Degrees Consulting Team in assisting with operations suggested in the final Report, following the three months of consulting.",4,"Life for Koori Kids is run by volunteers of all ages and backgrounds so their time is limited in engaging with additional projects.  We hope to expand in the areas needed, funding and volunteers.",4,"The 180 Degrees Consulting were very professional and brought great enthusiasm.

It may have helped  if they spent more time understanding Aboriginal children and their families,  and their culture and needs.",yes,yes,yes
